"Datum","Uhrzeit","Allgemein","Geben Sie Ihr Alter an (freiwillig)","Wohnen Sie in Moosburg?","An welchen Tagen besuchen Sie das Fest im Wesentlichen? (mehrfache Antworten möglich)","Zu welchen Tageszeiten besuchen Sie das Fest im Wesentlichen? (mehrfache Antworten möglich)","Erreichbarkeit","Wie kommen Sie zum Fest? (mehrfache Antworten möglich)","Wie bewerten Sie insgesamt die Erreichbarkeit des Festplatzes für Sie persönlich?","Wollen Sie uns etwas zum Thema Erreichbarkeit mitteilen? (optional)","Essen","Nutzen Sie die Essensangebote auf dem Fest? (mehrfache Antworten möglich)","Sollen bei den Essensangeboten folgende Ernährungspräferenzen bzw. -restriktionen mehr berücksichtigt werden? (mehrfache Antworten möglich)","Wie leicht fällt es Ihnen, geeignetes Essen zu finden?","Wie bewerten Sie die Preise für Essen auf dem Fest für Sie persönlich?","Wie bewerten Sie insgesamt das Angebot an Essen auf dem Fest für Sie persönlich?","Getränke","Nutzen Sie die Getränkeangebote auf dem Fest? (mehrfache Antworten möglich)","Wie bewerten Sie die Preise für Getränke auf dem Fest für Sie persönlich?","Wie bewerten Sie insgesamt das Angebot das Angebot an Getränken auf dem Fest für Sie persönlich?","Programm & Fahrgeschäfte","Wie bewerten Sie insgesamt das Programm (Musikgruppen etc.) auf dem Fest für Sie persönlich?","Wie bewerten Sie insgesamt die Auswahl an Fahrgeschäften und Ständen auf dem Fest für Sie persönlich?","Wie gefällt Ihnen das Rahmenprogramm zur Herbstschau? (Umzug, Ausstellung der Hobbyhandwerker, Isarman, ...) (optional)","Wie sicher fühlen Sie sich auf den Moosburger Volksfesten?","Wie sicher fühlen Sie sich auf den Moosburger Volksfesten? - Zusätzliche Informationen (optional)","Sonstige Anregungen, Lob & Kritik (optional)"
"30.10.2024","20:56","","33","Ja","Donnerstag, Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","6","Ich wohne direkt um die Ecke, daher ist es für mich nicht weit.","","Von den Ständen auf dem Festplatz","vegetarisch, glutenfrei","3","3","2","","Von den Ständen auf dem Festplatz","4","2","","2","3","","4","",""
"30.10.2024","19:38","","38","Nein","Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","PKW","2","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch","1","3","1","","Im Festzelt","3","2","","2","2","","1","",""
"30.10.2024","18:01","","27","Nein","Freitag, Samstag","Nach 18 Uhr","","Fahrrad, PKW","5","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","3","3","3","","Im Festzelt","3","4","","3","4","","5","",""
"30.10.2024","17:47","","","Nein","Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","PKW","4","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch, vegan, halal/koscher, laktosefrei, glutenfrei","2","3","2","","Im Festzelt, Von den Ständen auf dem Festplatz","2","5","","4","2","","4","",""
"30.10.2024","16:17","","36","Ja","Mittwoch, Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","3","3","","Im Festzelt","4","5","","4","2","Es sollte vll mehr praktische Anwendungen und ein vielseitigeres Angebot der Hersteller geben. Gefühlt sind doch jedes Jahr die gleichen Firmen mit gleichen Angeboten vor Ort","6","Teilweise sogar ein wenig zu viel Polizei Präsenz (Gefühlte Wahrnehmung)",""
"28.10.2024","22:18","","60","Ja","Samstag","14 bis 18 Uhr","","Fahrrad","4","Welcher Bus? Der Stadtbus fährst am Wochenende und abends nicht!","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","2","4","","Im Festzelt","3","4","","3","5","passt","5","Früher waren Schlägereien Tradition auf Volksfesten. Heutzutage wären das leider Messerstechereien. Tja, der merkelsche Kulturwandel...","a) Am 14.09. waren wir nachmittags im Bierzelt. Leider hatte die Krämmer-Seele :-) keine Musikgruppe engagiert! Gibt es in Moosburg oder Umgebung keine für ihn günstige Jugend-Stadtkapelle?  b) Meine Gattin hatte eine Radlermass bestellt. Der Bier-Anteil betrug ca. 25%; sie musste also überwiegend Zuckerwasser trinken. Greislich! c) Der kleinkrämmerische :-) Festwirt hatte offenbar Dünnbier aus Erding bestellt. Bitte beim nächsten Mal FESTBIER ordern! Gerne zahle ich dafür nochmal zehn Cent mehr. d) Das Weißbier war in Ordnung.  e) Erfreulich, dass als bayerische Spezialität ein Saures Lüngerl angeboten wird. Leider zum astronomischen Preis."
"23.10.2024","10:27","","39","Ja","Montag, Sonntag","14 bis 18 Uhr","","Fahrrad, zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch","6","3","5","","Im Festzelt","3","5","","5","6","waren nur beim Umzug, dieser war sehr schön.","6","",""
"22.10.2024","19:41","","69 Jahre","Ja","Montag, Samstag, Sonntag","Vor 14 Uhr, 14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","3","5","","Im Festzelt","2","3","","3","2","- Umzug sehr schön, Traditionen werden noch gewahrt - Ausstellung der Hobbyhandwerker unattraktiv, Aussteller wenig motiviert , zu wenige Aussteller - Isarman für das Publikum zu isoliert am Freibad, Start und Siegerehrung müsste zum Festplatz ver    legt werden, damit die Allgemeinheit Notiz davon nimmt","6","","- Bier sollte schon aus dem eigenen Landkreis kommen, abwechselnd Hofbräuhaus Freising und    Weihenstephan.  - Ausschank von Festbier, dann ist der Preis auch gerechtfertigt - bei den Schaustellern fehlt ein Eyecatcher, Schieß- Wurf- und reine Losbuden locken heutzutage   keinen "" Hund "" mehr hinter dem Ofen hervor - Herbstschau ist schlichtweg fad"
"21.10.2024","08:07","","44","Ja","Mittwoch, Samstag","Vor 14 Uhr, 14 bis 18 Uhr","","Fahrrad","3","Zugänge werden zugeparkt am schlimmsten aus Richtung Unterführung  nicht mal für Fußgänger mehr platz","","Im Festzelt","keine zusätzlichen Angebote notwendig","5","3","5","","Im Festzelt","4","4","","4","4","Beim Umzug ähnelt sich jedes Jahr  oft die gleichen wägen  insbesondere die der Stadt","3","Auf anderen festen sind die Zufahrten blockiert durch Hindernisse","Das personal am Kinderkarussell Heppenheimer ist extrem unfreundlich wird schon von vielen deswegen gemieden  besonders schade da die Auswahl gerade für Kleinkinder eh begrenzt ist"
"19.10.2024","18:04","","22","Ja","Freitag, Samstag","Nach 18 Uhr","","Fahrrad","5","Ab und zu ist sehr großer Autoverkehr, ggF. Fahrradspuren, Verkerssperrund an den Kleinstraße in der Nähe (Auch wg. Unfallrisiki)","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","3","2","","Im Festzelt","1","6","","4","1","Schaue es selten an, aber wenn dann finde ichs immer super","6","","Es wäre aus meiner Sicht empfehlenswert, Cannabis und Tabak auf dem Festplatz beim Konsum gleich zu behandeln.  Ein Anderes Bier (wie z.B. Flötzinger, Augustiner, Flötzinger Spezi und Radler ist auch super!)"
"16.10.2024","16:01","","31","Ja","Dienstag, Freitag","14 bis 18 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch, keine zusätzlichen Angebote notwendig","5","3","6","","Im Festzelt","4","5","","5","5","Ich finde das Rahmenprogramm super, ich finde es schön, wenn Moosburg etwas tolles organisiert. Auch die Ausstellungen sind immer sehr gut.","6","","Ich finde das Moosburger Volksfest, egal ob Frühlingsfest oder Herbstschau immer schön. Allerdings hat die Qualität des Essens im Festzelt eher nachgelassen. Ein Wurstsalat kam dieses Jahr mit genau 1 Essiggurke und 1 kleinen Tomate daher, viel ""Salat"" war nicht dabei. Dafür hat er denke ich ca. 9€ gekostet, da hätte ich mir selber einen besseren Wurstsalat machen können. Wenn man hier noch etwas nachjustiert, wäre es super. Alles in allem finde ich das Volksfest toll, es gibt tolle Stände mit guten Gerichten, Süßen Snacks oder tolle Angebote für die Kinder. Auch die Ausstellungen sind schön. Ich hätte mir nur gewünscht, dass mehr Moosburger dieses Angebot in Anspruch nehmen."
"15.10.2024","15:13","","","Ja","Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","3","4","","Im Festzelt","3","4","","5","4","","5","",""
"12.10.2024","22:57","","43","Ja","Mittwoch, Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch","5","3","3","","Im Festzelt","3","3","","4","5","","6","",""
"12.10.2024","22:35","","","Ja","Mittwoch, Freitag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, PKW","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","4","5","","Im Festzelt, Von den Ständen auf dem Festplatz","5","6","","4","4","","6","",""
"12.10.2024","16:05","","42","Ja","Mittwoch, Freitag, Samstag, Sonntag","14 bis 18 Uhr","","zu Fuß","6","","","Von den Ständen auf dem Festplatz","vegetarisch","4","3","3","","Von den Ständen auf dem Festplatz","4","2","","2","2","","5","","Bei der Herbstschau 2024 waren die Musikbands Abends, v.a. Freitag und Samstag, unangenehm laut. Trotz dreifach verglaster Fenster war in unserem Wohnhaus in der Burgermühlstraße die Musik auch spät Abends (zu den Schlafenszeiten der Kinder) noch so laut, dass man den Text auch bei geschlossenen Fenstern hätte mitsingen können!!! Die letzten Jahre davor war es nicht so schlimm und ich hoffe und möchte anregen, die Lautstärke der Bands wieder nach unten zu regulieren, damit auch Anwohner, die nicht im Bierzelt sind, den Abend bzw. die Nacht für erholsamen und ungestörten Schlaf nutzen können. Vielen Dank!"
"10.10.2024","16:09","","","Ja","Montag, Dienstag, Mittwoch, Donnerstag, Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, PKW, zu Fuß","2","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","4","5","","Im Festzelt","5","5","","4","3","","5","",""
"10.10.2024","13:17","","","Nein","Dienstag, Freitag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, PKW","4","","","Von den Ständen auf dem Festplatz","glutenfrei","5","4","5","","Im Festzelt","4","5","","4","5","","5","",""
"10.10.2024","11:22","","","Nein","Mittwoch, Freitag, Samstag","Nach 18 Uhr","","PKW","4","Parkplatzmöglichkeiten wie immer Mangelware","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","3","4","3","","Im Festzelt, Von den Ständen auf dem Festplatz","3","3","","2","4","","2","","Wir waren an einem Mittwoch Abend im Festzelt, war max. zur Hälfte besetzt, wenn überhaupt... wir haben erstmal auf die Bestellung der Getränke und auch gleich das Essen bestimmt mind. 10 Min. gewartet und auf das Essen war es bestimmt eine gute Stunde. Bei allem Respekt an die Bedienungen und den Köchen, aber die Wartezeit war uns eigentlich schon fast zu lang"
"10.10.2024","09:37","","60","Ja","Mittwoch","14 bis 18 Uhr","","Fahrrad","5","","","Von den Ständen auf dem Festplatz","vegetarisch","3","1","2","","Im Festzelt","2","3","","3","2","","2","",""
"05.10.2024","20:09","","28","Ja","Mittwoch, Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","4","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch, vegan, halal/koscher","3","4","3","","Im Festzelt","5","4","","3","4","","6","","Mehr Auswahl bei Getränken im Zelt wäre gut."
"05.10.2024","19:35","","35","Ja","Mittwoch","14 bis 18 Uhr","","Fahrrad","4","","","Von den Ständen auf dem Festplatz","vegetarisch","3","2","3","","Von den Ständen auf dem Festplatz","1","1","","3","4","","5","",""
"04.10.2024","21:18","","42","Ja","Freitag, Samstag","Nach 18 Uhr","","Fahrrad, zu Fuß","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","1","3","","Im Festzelt, Von den Ständen auf dem Festplatz","2","5","","5","1","Fahrgeschäfte für ein Jubiläumsfest sehr mager. Nichts für die Jugend. Kaum Abwechslung zu den letzten Jahren.","4","",""
"04.10.2024","13:00","","28","Ja","Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch, vegan","2","3","4","","Im Festzelt","3","4","","4","4","","5","",""
"03.10.2024","09:54","","","Ja","Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","5","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","2","3","","Im Festzelt","3","3","","3","2","","3","",""
"02.10.2024","23:01","","41","Ja","Freitag, Sonntag","14 bis 18 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","1","1","","Im Festzelt","2","5","","5","3","","6","","Der Service und das Essen im Zelt waren dieses Jahr richtig schlecht. Und das zu dem Preis."
"02.10.2024","20:46","","16","Ja","Freitag, Samstag","Nach 18 Uhr","","Fahrrad","5","","","Im Festzelt","vegetarisch, vegan","1","3","2","","Im Festzelt","3","5","","5","5","","4","",""
"02.10.2024","20:10","","34","Ja","Freitag, Sonntag","Nach 18 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","vegetarisch, halal/koscher","4","3","4","","Im Festzelt","4","4","","4","4","Der Umzug war sehr schön.","6","","Mehr Alternativen für ausländische Mitbürger, was die Verpflegung betrifft. Schön wäre eine Durchmischung von Fahrgeschäften, Händlern, Kunsthandwerk etc auf dem Festplatz."
"02.10.2024","16:01","","39","Ja","Dienstag, Sonntag","14 bis 18 Uhr","","zu Fuß","4","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","2","3","","Von den Ständen auf dem Festplatz","3","4","","4","4","","6","",""
"02.10.2024","15:54","","48","Ja","Mittwoch, Freitag, Samstag, Sonntag","14 bis 18 Uhr","","Fahrrad, zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","glutenfrei","1","2","1","","Im Festzelt, Von den Ständen auf dem Festplatz","1","1","","3","2","","5","",""
"02.10.2024","12:53","","44","Ja","Samstag, Sonntag","14 bis 18 Uhr","","zu Fuß","6","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","3","5","","Von den Ständen auf dem Festplatz","3","3","","3","5","Der Umzug ist sehr schön und stärkt irgendwie das Gemeinschaftsgefühl der Moosburger. Allerdings könnte die musikalische Begleitung noch ausgebaut werden, weil es zwischendurch etwas still ist. Es gab eine Ausstellung von Hobbyhandwerkern? Davon weiß ich nichts!","6","","Bei der Umfrage sollte bei den Antwortmöglichkeiten berücksichtigt werden, ob das jeweilige Angebot überhaupt in Anspruch genommen wird. Ich konsumiere auf dem Volksfest keine Getränke, musste aber trotzdem etwas ankreuzen."
"02.10.2024","10:01","","35","Ja","Freitag, Sonntag","14 bis 18 Uhr","","zu Fuß","5","","","Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","4","3","2","","Im Festzelt","4","4","","3","4","","4","",""
"02.10.2024","08:18","","34","Nein","Freitag, Samstag","14 bis 18 Uhr, Nach 18 Uhr","","PKW","4","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","2","3","","Im Festzelt","2","2","","3","3","","3","","Es ist alles als Familie zu teuer :("
"01.10.2024","08:44","","58","Ja","Donnerstag, Freitag, Samstag, Sonntag","Nach 18 Uhr","","Fahrrad, zu Fuß","5","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","3","5","3","","Im Festzelt, Von den Ständen auf dem Festplatz","5","4","","4","4","","4","",""
"30.09.2024","12:31","","23","Ja","Freitag, Samstag","Nach 18 Uhr","","Fahrrad, zu Fuß","6","","","Von den Ständen auf dem Festplatz","vegetarisch, keine zusätzlichen Angebote notwendig","6","5","5","","Im Festzelt","2","5","","4","5","","3","Bissl mehr Security zwischen Zelt und Toiletten wäre sinnvolll.",""
"30.09.2024","07:52","","","Ja","Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","Fahrrad, zu Fuß","3","Busverbindung vom Bahnhof zum Platz wäre gut. Mehr Fahrradplätze Ggf. noch eine kleine Verkehrsinsel am vorderen Eingang, nicht bei der Ampel, kommt man von der Tankstelle ist es schwierig mit den Kindern auf der gegenüberliegenden Seite vom Volksfest zur Ampel zu gehen, hier sollte der Verkehr im Zeitraum des Festes beruhigt werden.","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","1","4","","Im Festzelt, Von den Ständen auf dem Festplatz","1","5","","4","4","Beim Umzug sollte der Pferdemist gleich entsorgt werden, damit die Fußgruppen hier nicht reintreten. Bei Hunde ist das Pflicht und Pferden?   Ausstellungen finde ich gut, sollten aber von der Stadt noch mehr beworben werden.","2","Die Sicherheitsleute sind auf Ärger aus und provozieren gerne! Hier sollte ein geeigneter Sicherheitsdienst gestellt werden und nicht Möchtegern Raudies. Es kann nicht sein, dass man mit Kind angepöbelt wird, wenn ich als Elternteil dabei bin, dann kann mein Kind sich im Zelt bewegen. Die kennen keine Vorschriften und keine Grenzen und sind nur auf Ärger aus, ich bin dann mit meinem Sohn gegangen und nicht mehr ins Zelt!","Bei einer Umfrage von 1 bis 6 sollte man das Schulnotensystem verwenden, bei Umfragen von 1 bis 10 ist es so wie hier! Das ganze ist verwirrend und in Deutschland wäre es einfach zu handhaben mit dem Schulnotensystem, wie es in der Regel überall gehandhabt wird."
"29.09.2024","16:54","","29","Ja","Freitag, Samstag","Nach 18 Uhr","","Fahrrad","5","Mehr Fahrradsteklplätze","","Von den Ständen auf dem Festplatz","vegetarisch, vegan, halal/koscher","4","4","2","","Im Festzelt","3","2","","4","3","Gleichgültig.","6","","Weinschorlen-Maß oder Sommer Spritzer.   Größere Vielfalt bei den Essens angeboten.   Mehr Kartenzahlung."
"29.09.2024","16:51","","25","Nein","Samstag","Nach 18 Uhr","","Zug","5","Evtl. Beschilderung vom Bahnhof aus","","Im Festzelt","vegetarisch, vegan","3","3","2","","Im Festzelt","3","2","","5","5","","5","",""
"28.09.2024","23:40","","37","Ja","Freitag, Samstag, Sonntag","14 bis 18 Uhr, Nach 18 Uhr","","zu Fuß","6","","","Von den Ständen auf dem Festplatz","vegetarisch","5","2","3","","Im Festzelt","3","4","","4","4","","3","",""
"28.09.2024","21:12","","22","Ja","Freitag, Samstag","Nach 18 Uhr","","Fahrrad, zu Fuß","4","","","Von den Ständen auf dem Festplatz","vegetarisch, vegan","2","2","2","","Im Festzelt","3","5","","3","3","","5","",""
"28.09.2024","16:14","","59","Nein","Donnerstag, Freitag, Samstag, Sonntag","Nach 18 Uhr","","PKW","2","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","4","6","","Im Festzelt, Von den Ständen auf dem Festplatz","4","6","","6","6","","4","","Es ist sehr schade, dass es nur sehr wenige Festzeltbedienungen gibt, die engagiert und auf Zack sind. 1 Stunde Wartezeit auf etwas zu essen ist einfach zu lang!"
"28.09.2024","15:47","","17","Ja","Freitag, Samstag","Nach 18 Uhr","","zu Fuß","5","War sau geil, trotz schlechtem Wetter","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","6","3","4","","Im Festzelt","4","5","","6","6","","6","",""
"28.09.2024","14:24","","","Ja","Sonntag","14 bis 18 Uhr","","zu Fuß","6","","","Im Festzelt, Von den Ständen auf dem Festplatz","keine zusätzlichen Angebote notwendig","5","2","4","","Im Festzelt","2","5","","3","1","","5","","Das Durchfahrt- und Parkverbot in der Viehmarktstr. sollte strenger kontrolliert werden, um den Anwohnern das tägliche Verkehrschaos (zugeparkte Einfahrten, Falschparker, Begegnungsverkehr ) stärker zu ersparen."
